2020-04-20 14:12:13.101380: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/interfaces'
2020-04-20 14:13:22.914775: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/interfaces'
2020-04-20 14:13:54.070131: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/interfaces'
2020-04-20 14:15:00.735513: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/programas'
2020-04-20 14:17:12.517689: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/help'
2020-04-20 14:17:22.880565: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/commands'
2020-04-20 14:17:34.208248: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/running@GestionRedes2020bot'
2020-04-20 14:17:45.790229: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/ping@GestionRedes2020bot'
2020-04-20 14:17:59.428106: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/interfaces@GestionRedes2020bot'
2020-04-20 14:31:59.939482: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/interfaces'
2020-04-20 14:37:39.761072: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/interfaces'
2020-04-20 14:38:43.894030: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/interfaces'
2020-04-20 14:40:14.108757: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/interfaces'
2020-04-20 14:44:22.818134: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/recursos'
2020-04-20 14:44:57.822279: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/recursos'
2020-04-20 14:46:47.017001: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/recursos'
2020-04-20 14:49:07.239435: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/commands'
2020-04-20 14:49:18.527682: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/interfaces@GestionRedes2020bot'
2020-04-20 15:05:20.438683: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/help'
2020-04-20 15:05:34.085975: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/running'
2020-04-20 15:06:24.054874: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/help'
2020-04-21 01:17:15.195367: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/interfaces'
2020-04-21 01:17:55.321403: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/interfaces'
2020-04-21 01:20:31.887857: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/interfaces'
2020-04-21 01:35:52.121606: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/interfaces'
2020-04-21 01:39:20.337629: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/interfaces'
2020-04-21 01:46:57.324887: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/recursos'
2020-04-21 02:28:45.489277: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/comandos@GestionRedes2020bot'
2020-04-21 03:04:12.491378: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/comandos@GestionRedes2020bot'
2020-04-21 03:04:28.235782: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/ping@GestionRedes2020bot'
2020-04-21 03:06:51.858892: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/interfaces'
2020-04-21 03:07:23.916808: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/running'
2020-04-21 03:08:04.157253: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/recursos'
2020-04-21 04:08:29.251895: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/recursos'
2020-04-21 04:09:54.951000: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/help'
2020-04-21 04:10:14.494362: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/ping'
2020-04-21 04:10:20.650979: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/comandos'
2020-04-21 04:34:06.807325: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/comandos'
2020-04-21 04:34:19.304655: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/running@GestionRedes2020bot'
2020-04-21 04:39:48.243197: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/programas'
2020-04-21 04:40:38.437045: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/programas'
2020-04-21 04:41:02.846880: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/running'
2020-04-21 04:41:33.870041: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/running'
2020-04-21 04:41:43.580325: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/programas'
2020-04-21 04:52:13.148013: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/recursos'
2020-04-21 04:52:58.627459: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/ping'
2020-04-21 04:53:08.045624: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/interfaces'
2020-04-21 04:53:19.610598: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/recursos'
2020-04-21 14:21:01.687303: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/recursos'
2020-04-21 14:21:01.702672: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/interfaces'
2020-04-21 14:21:02.185859: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/interfaces'
2020-04-21 14:21:12.269597: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/running'
2020-04-21 14:29:13.918754: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/running'
2020-04-21 15:19:47.641252: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/running'
2020-04-21 15:28:44.669114: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/MWscan'
2020-04-21 15:29:24.111721: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/MWscan'
2020-04-21 15:30:09.902098: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/MWscan'
2020-04-21 15:31:25.131810: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/MWscan'
2020-04-21 15:34:05.227627: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/MWscan'
2020-04-21 15:34:35.683682: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/MWscan'
2020-04-21 15:51:38.800636: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/saludar'
2020-04-21 15:54:05.460177: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/saludar'
2020-04-21 15:55:02.308855: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/saludar'
2020-04-21 15:55:33.558303: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/saludar'
2020-04-21 15:56:05.622612: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/saludar'
2020-04-21 15:57:24.139196: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/saludar'
